country_name,countryiso3code,date,gdp_growth,inflation,external_debt,reserves,gdp_per_capita,gdp_growthz,inflationz,external_debtz,reservesz,gdp_per_capitaz,risk_score,risk_category
Benin,BEN,2024,7.45311566226201,1.16093089640415,66.5543408193995,,1485.38018885134,1.37098917064975,-0.7999150681151107,0.32684849102134983,,-0.09485776261052482,-1.7491979851329857,Low Risk
Burkina Faso,BFA,2024,4.83395810163883,4.19081721344523,48.7617444251463,,982.493100418428,-0.6517441659560937,-0.5085407093313477,-0.23319482226974853,,-0.5313142163357509,0.4413228506907485,Medium Risk
Cote d'Ivoire,CIV,2024,6.0195346193922,3.45053028131019,48.8304044647452,,2727.8935220697,0.26385754568214254,-0.5797317071432705,-0.23103366516734342,,0.9835214115550127,-2.058144329547769,Low Risk
Cabo Verde,CPV,2024,6.98888280991075,1.04817001091965,86.8866144784781,783105557.825454,5170.20531932535,1.012469591485872,-0.8107589174434319,0.9668311925032737,-0.4136221867969087,3.1032074612470386,-3.9596047776730687,Low Risk
Ghana,GHA,2024,5.84746854280382,22.8483281157842,46.9171668170777,4472457558.56406,2419.2518672482,0.13097367704940543,1.2856917161872023,-0.2912551150092032,-0.16494512362791805,0.7156508592307249,0.1478120648978688,Medium Risk
Guinea,GIN,2024,5.35004659049265,8.12313914948596,23.1973863712568,1345598715.8962,1694.95375862185,-0.25317731120193504,-0.13038203842644916,-1.0378636558349563,-0.375707900880661,0.08703145101317228,-1.0020998340726428,Medium Risk
"Gambia, The",GMB,2024,5.55126065805138,11.5610532897511,66.3566127091875,628849157.476695,871.340287547821,-0.09778291707916836,0.20023103525205266,0.32062476158241976,-0.42401968440789023,-0.627783908326184,1.246422622239825,Medium Risk
Guinea-Bissau,GNB,2024,4.40920107183611,3.76555825770114,67.1110649067659,,998.376093392688,-0.9797772011031736,-0.5494364864600402,0.34437204944806427,,-0.517529343055965,1.2922421071471626,High Risk
Liberia,LBR,2024,4.02185464964835,8.21497439118964,50.457044003161,367711666.748042,851.497723870206,-1.2789186245720865,-0.12155054052018661,-0.17983323458156747,-0.4416213944818328,-0.6450052989221055,1.6225401483924378,High Risk
Mali,MLI,2024,5.01653579205785,3.2063986409966,24.9435630803084,,1093.2523323649,-0.5107423467134273,-0.6032090566910476,-0.9829006494215212,,-0.4351861138161015,-0.64018124558304,Medium Risk
Niger,NER,2024,8.32327058280728,9.07151997725013,27.5138701036448,,729.856664168989,2.0429958464832367,-0.03917932431192721,-0.9019971528419195,,-0.7505777559720825,-2.233594567665001,Low Risk
Nigeria,NGA,2024,4.07106650147703,33.2416590552749,60.0447244122839,40405994024.7986,1084.16041805058,-1.2409131014426211,2.2851847074222555,0.12195050648253211,2.257118782421189,-0.4430769998031876,4.091125315150596,High Risk
